ID_Registro,ID_Lote,ID_Local,Categoria,Producto,Stock_Unidades,Costo_Unitario_USD,Precio_Venta_USD,Fecha_Ingreso,Fecha_Vencimiento,RSL_Dias_Remanentes,Rotacion_Diaria_Promedio,Dias_Para_Agotar_Stock,Condicion_Almacenamiento,Tiempo_Transito_Horas,Costo_Transporte_Unit_USD,Alerta_Sistema_Predictivo,Accion_Control_Interno,Estado_Merma,Unidades_Mermadas,Valor_Merma_USD
REG-000001,LOT-2025-8270,POS-020,Consumo Masivo,Bebida Energizante 500ml,104,0.72,1.51,2025-05-02,2026-11-29,72,2.23,46.4,Optima,1.6,0.113,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000002,LOT-2025-1769,POS-024,Consumo Masivo,Snack Papas Fritas 150g,257,0.38,0.87,2025-06-10,2026-09-24,6,6.54,39.2,Optima,1.7,0.122,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-000003,LOT-2025-3047,POS-016,Farmacia/Medicamentos,Omeprazol 20mg Cap,139,0.49,1.53,2026-05-20,2027-01-25,129,2.64,52.5,Optima,3.5,0.231,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000004,LOT-2025-9792,POS-014,Consumo Masivo,Leche Entera Larga Vida 1L,39,0.62,0.94,2025-04-02,2026-09-10,-8,13.65,2.9,Optima,2.8,0.19,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,39,24.18
REG-000005,LOT-2025-8555,POS-002,Farmacia/Medicamentos,Amoxicilina 500mg Cap,48,0.81,2.16,2026-02-06,2026-12-10,83,14.1,3.4,Desviación Menor,0.6,0.055,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000006,LOT-2025-8629,POS-023,Agroquímicos,Mancozeb 80% WP 1Kg,221,2.75,6.17,2025-12-04,2026-09-26,8,4.29,51.4,Optima,1.2,0.095,Riesgo Inminente: Descuento / Remate,Promoción Aplicada,Sin Merma,0,0.0
REG-000007,LOT-2025-1064,POS-025,Consumo Masivo,Galletas Integrales 200g,167,0.49,1.09,2025-03-04,2026-11-22,65,11.87,14.1,Optima,6.1,0.385,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000008,LOT-2025-7184,POS-007,Consumo Masivo,Galletas Integrales 200g,103,0.49,1.08,2026-02-11,2026-10-09,21,8.91,11.5,Optima,1.1,0.086,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000009,LOT-2025-6056,POS-003,Farmacia/Medicamentos,Omeprazol 20mg Cap,287,0.51,1.5,2026-02-02,2027-05-26,250,7.89,36.3,Optima,1.3,0.097,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000010,LOT-2025-8035,POS-013,Farmacia/Medicamentos,Paracetamol 500mg Tab,235,0.15,0.45,2026-04-30,2027-10-08,385,6.21,37.8,Optima,1.1,0.088,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000011,LOT-2025-7668,POS-007,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,290,0.26,0.81,2025-01-28,2026-12-04,77,13.26,21.9,Optima,2.5,0.171,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000012,LOT-2025-6592,POS-007,Consumo Masivo,Leche Entera Larga Vida 1L,169,0.63,0.95,2025-09-16,2026-11-03,46,10.42,16.2,Optima,4.0,0.262,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000013,LOT-2025-2998,POS-022,Farmacia/Medicamentos,Paracetamol 500mg Tab,272,0.15,0.44,2026-03-18,2028-01-30,499,3.85,70.5,Optima,3.0,0.203,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000014,LOT-2025-2636,POS-017,Consumo Masivo,Bebida Energizante 500ml,228,0.71,1.5,2026-07-20,2026-12-13,86,13.63,16.7,Optima,3.5,0.228,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000015,LOT-2025-6172,POS-012,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,284,0.24,0.8,2026-02-05,2027-03-25,188,7.11,39.9,Desviación Crítica,5.6,0.355,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000016,LOT-2025-2930,POS-016,Consumo Masivo,Leche Entera Larga Vida 1L,151,0.64,0.94,2025-12-15,2026-12-01,74,5.3,28.4,Optima,6.0,0.383,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000017,LOT-2025-3976,POS-008,Farmacia/Medicamentos,Amoxicilina 500mg Cap,103,0.83,2.22,2026-04-18,2026-12-14,87,3.51,29.3,Optima,3.0,0.201,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000018,LOT-2025-3049,POS-001,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,151,0.25,0.81,2025-01-09,2026-12-10,83,10.92,13.8,Desviación Menor,4.0,0.262,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000019,LOT-2025-7197,POS-024,Consumo Masivo,Galletas Integrales 200g,258,0.48,1.09,2026-02-26,2026-11-25,68,0.24,1032.0,Optima,2.7,0.182,Alerta Temprana: Redistribución Sugerida,Sin Acción,Sin Merma,0,0.0
REG-000020,LOT-2025-3961,POS-014,Agroquímicos,Mancozeb 80% WP 1Kg,281,2.79,6.32,2025-06-10,2027-01-08,112,2.76,101.4,Optima,3.6,0.237,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000021,LOT-2025-2218,POS-017,Farmacia/Medicamentos,Ibuprofeno 400mg Tab,55,0.25,0.8,2025-01-22,2026-12-20,93,13.39,4.1,Optima,5.9,0.372,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000022,LOT-2025-5893,POS-001,Agroquímicos,Fertilizante Foliar 1L,196,2.18,4.95,2026-05-31,2028-07-25,676,9.72,20.1,Optima,5.7,0.364,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000023,LOT-2025-3205,POS-014,Consumo Masivo,Bebida Energizante 500ml,103,0.72,1.53,2025-12-15,2026-12-06,79,14.71,7.0,Optima,5.5,0.353,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000024,LOT-2025-3975,POS-023,Farmacia/Medicamentos,Omeprazol 20mg Cap,178,0.48,1.5,2026-07-20,2027-01-13,117,1.55,114.1,Optima,2.4,0.163,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000025,LOT-2025-2686,POS-002,Farmacia/Medicamentos,Amoxicilina 500mg Cap,180,0.83,2.22,2026-01-28,2026-12-29,102,8.34,21.6,Optima,0.9,0.072,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000026,LOT-2025-6986,POS-018,Consumo Masivo,Leche Entera Larga Vida 1L,268,0.62,0.93,2025-02-05,2026-09-22,4,10.56,25.4,Optima,5.3,0.34,Riesgo Inminente: Descuento / Remate,Sin Acción,Merma Parcial,110,68.2
REG-000027,LOT-2025-6919,POS-023,Agroquímicos,Insecticida Cyper 200 EC 1L,62,4.19,11.02,2025-05-05,2026-10-30,42,0.55,110.7,Optima,2.0,0.139,Alerta Temprana: Redistribución Sugerida,Redistribuido a POS Alto Tráfico,Sin Merma,0,0.0
REG-000028,LOT-2025-3491,POS-005,Agroquímicos,Glifosato 480 SL 1L,51,3.42,8.66,2025-04-13,2026-09-08,-10,10.52,4.8,Optima,3.8,0.249,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,51,174.42
REG-000029,LOT-2025-5465,POS-010,Farmacia/Medicamentos,Paracetamol 500mg Tab,283,0.15,0.45,2025-02-27,2026-12-28,101,6.48,43.6,Optima,3.5,0.227,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000030,LOT-2025-2081,POS-001,Farmacia/Medicamentos,Paracetamol 500mg Tab,282,0.15,0.45,2025-09-29,2026-11-10,53,10.98,25.7,Optima,4.1,0.265,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000031,LOT-2025-2679,POS-019,Consumo Masivo,Leche Entera Larga Vida 1L,43,0.64,0.93,2025-02-16,2026-11-26,69,5.26,8.2,Optima,2.8,0.185,Estado Normal,Ninguna (Rotación Adecuada),Sin Merma,0,0.0
REG-000032,LOT-2025-6881,POS-010,Consumo Masivo,Galletas Integrales 200g,261,0.48,1.09,2026-03-18,2026-08-20,-29,8.14,32.0,Optima,0.6,0.057,Producto Vencido / Retiro de Percha,Baja de Inventario (Merma Realizada),Merma Confirmada,261,125.28
